Occupancy Category,People OA Rate (cfm per person),People OA Rate (l/s per person),Area OA Rate (cfm per sq ft),Area OA Rate (l/s per sq m),Default Occupant Density (#/1000 sq ft or #/100 sq m)
Art classroom ,10,5,0.18,0.9,20
Auditorium seating area ,5,2.5,0.06,0.3,150
Bank vault / safe deposit ,5,2.5,0.06,0.3,5
Banks or bank lobbies,7.5,3.8,0.06,0.3,15
Barbershop,7.5,3.8,0.06,0.3,25
Barracks sleeping areas ,5,2.5,0.06,0.3,20
Bars / cocktail lounges ,7.5,3.8,0.18,0.9,100
Beauty and nail salon ,20,10,0.12,0.6,25
Bedroom / living room ,5,2.5,0.06,0.3,10
Booking / waiting ,7.5,3.8,0.06,0.3,50
Bowling alley (seating),10,5,0.12,0.6,40
Break rooms (general),5,2.5,0.06,0.3,25
Breakrooms (office buildings),5,2.5,0.12,0.6,50
Cafeteria / fast food dining ,7.5,3.8,0.18,0.9,100
Cell,5,2.5,0.12,0.6,25
Classrooms (age 9 plus),10,5,0.12,0.6,35
Classrooms (ages 5-8),10,5,0.12,0.6,25
Coffee stations,5,2.5,0.06,0.3,20
Coin-operated laundries ,7.5,3.8,0.12,0.6,20
Common corridors,0,0,0.06,0.3,0
Computer (not printing ) ,5,2.5,0.06,0.3,4
Computer lab,10,5,0.12,0.6,25
Conference / meeting ,5,2.5,0.06,0.3,50
Corridors ,0,0,0.06,0.3,0
Courtrooms ,5,2.5,0.06,0.3,70
Day room ,5,2.5,0.06,0.3,30
Daycare (through age 4),10,5,0.18,0.9,25
Daycare sickroom,10,5,0.18,0.9,25
Disco / dance floors ,20,10,0.06,0.3,100
Dwelling unit,5,2.5,0.06,0.3,n/a
Dwelling unit - studio or one-bedroom,5,2.5,0.06,0.3,2
Dwelling unit - three-bedroom,5,2.5,0.06,0.3,4
Dwelling unit - two-bedroom,5,2.5,0.06,0.3,3
Electrical equipment rooms,0,0,0.06,0.3,0
Elevator machine rooms,0,0,0.12,0.6,0
Freezer and refrigerated spaces <50 deg F,10,5,0,0,0
Gambling casinos ,7.5,3.8,0.18,0.9,120
Game arcades ,7.5,3.8,0.18,0.9,20
General manufacturing (excludes heavy industrial and processes using chemicals),10,5,0.18,0.9,7
Guard stations,5,2.5,0.06,0.3,15
"Gym, sports arena (play area)",20,10,0.18,0.9,7
Health club / aerobics,20,10,0.06,0.3,40
Health club / weight,20,10,0.06,0.3,10
Kitchen (cooking),7.5,3.8,0.12,0.6,20
Laundry rooms within dwelling units,5,2.5,0.12,0.6,10
"Laundry rooms, central",5,2.5,0.12,0.6,10
Lecture classroom ,7.5,3.8,0.06,0.3,65
Lecture hall (fixed seats),7.5,3.8,0.06,0.3,150
Legislative chambers ,5,2.5,0.06,0.3,50
Libraries ,5,2.5,0.12,0.6,10
Lobbies ,5,2.5,0.06,0.3,150
Lobbies / prefunction ,7.5,3.8,0.06,0.3,30
Main entry lobbies ,5,2.5,0.06,0.3,10
Mall common areas ,7.5,3.8,0.06,0.3,40
Media center ,10,5,0.12,0.6,25
Multi-purpose assembly ,5,2.5,0.06,0.3,120
Multi-use assembly ,7.5,3.8,0.06,0.3,100
Museums (children's),7.5,3.8,0.12,0.6,40
Museums / galleries ,7.5,3.8,0.06,0.3,40
Music / theater/ dance ,10,5,0.06,0.3,35
Occupiable storage rooms for dry materials,5,2.5,0.06,0.3,2
Occupiable storage rooms for liquids or gels,5,2.5,0.12,0.6,2
Office space ,5,2.5,0.06,0.3,5
Pet shops (animal areas),7.5,3.8,0.18,0.9,10
"Pharmacy (prep, area)",5,2.5,0.18,0.9,10
Photo studios,5,2.5,0.12,0.6,10
Places of religious worship,5,2.5,0.06,0.3,120
Reception areas ,5,2.5,0.06,0.3,30
Restaurant dining rooms ,7.5,3.8,0.18,0.9,70
Sales ,7.5,3.8,0.12,0.6,15
Science laboratories,10,5,0.18,0.9,25
Shipping / receiving ,10,5,0.12,0.6,2
Sorting / packing / light assembly,7.5,3.8,0.12,0.6,7
Spectator areas ,7.5,3.8,0.06,0.3,150
Sports arena (play area),0,0,0.3,1.5,0
"Stages, studios ",10,5,0.06,0.3,70
Storage rooms ,0,0,0.12,0.6,0
Supermarket ,7.5,3.8,0.06,0.3,8
Swimming (pool & deck),0,0,0.48,2.4,0
Telephone / data entry ,5,2.5,0.06,0.3,60
Telephone closets,0,0,0,0,0
Transportation waiting,7.5,3.8,0.06,0.3,100
University / college laboratories,10,5,0.18,0.9,25
Warehouses,10,5,0.06,0.3,0
Wood / metal shop ,10,5,0.18,0.9,20
